	_id	lemma	phonetic	pos	root	sources	gloss
0	5200a366e36f237975000783	badbad	bɐdbɐt	VERB	{'radicals': 'b-d-b-d'}	['Spagnol2011', 'Falzon2013']	to fornicate
1	5200a366e36f237975000783	badbad	bɐdbɐt	VERB	{'radicals': 'b-d-b-d'}	['Spagnol2011', 'Falzon2013']	to cough a lot
2	5200a366e36f237975000784	tbadbad	dbɐdbɐt	VERB	{'radicals': 'b-d-b-d'}	['Spagnol2011']	to act in a rough or anti-social manner
3	5200a366e36f237975000785	bagħbas	bɐːbɐs	VERB	{'radicals': 'b-għ-b-s'}	['Spagnol2011', 'Falzon2013']	to touch
4	5200a366e36f237975000785	bagħbas	bɐːbɐs	VERB	{'radicals': 'b-għ-b-s'}	['Spagnol2011', 'Falzon2013']	to fondle
5	5200a366e36f237975000786	tbagħbas	dbɐːbɐs	VERB	{'radicals': 'b-għ-b-s'}	['Spagnol2011']	to be damaged as a result of handling
6	5200a366e36f237975000786	tbagħbas	dbɐːbɐs	VERB	{'radicals': 'b-għ-b-s'}	['Spagnol2011']	to be messed up
7	5200a366e36f237975000787	bagħtar	bɐːtɐr	VERB	{'radicals': 'b-għ-t-r'}	['Spagnol2011']	to wade through mud
8	5200a366e36f237975000788	tbagħtar	dbɐːtɐr	VERB	{'radicals': 'b-għ-t-r'}	['Spagnol2011']	to become muddy
9	5200a366e36f237975000789	bahrad	bɐːrɐt	VERB	{'radicals': 'b-h-r-d'}	['Spagnol2011']	to make sb. indulge in enjoyment or frivolity
10	5200a366e36f23797500078a	tbahrad	dbɐːrɐt	VERB	{'radicals': 'b-h-r-d'}	['Spagnol2011']	to have a good time
11	5200a366e36f23797500078a	tbahrad	dbɐːrɐt	VERB	{'radicals': 'b-h-r-d'}	['Spagnol2011']	to indulge in frivolity
12	5200a366e36f23797500078b	baħbaħ	bɐhbɐh	VERB	{'radicals': 'b-ħ-b-ħ', 'variant': 1}	['Spagnol2011']	to wash
13	5200a366e36f23797500078b	baħbaħ	bɐhbɐh	VERB	{'radicals': 'b-ħ-b-ħ', 'variant': 1}	['Spagnol2011']	to rinse using a lot of water
14	5200a366e36f23797500078c	tbaħbaħ	dbɐhbɐh	VERB	{'radicals': 'b-ħ-b-ħ', 'variant': 1}	['Spagnol2011']	to rinse oneself
